style,content,weight,E1,E2,E3,E4,E5
7,202000,default,-1.6836892856352148,-0.7124976119970358,-1.9518341331090983,-3.873821980574764,-4.777251739405842
6,123057,default,-1.2460581110963176,-0.8600994243556644,-2.2096546730646076,-4.0740983721681205,-5.085494047826046
3,43051,default,-1.2389225090948104,-0.8923727628495389,-2.67048029257691,-4.168869484109795,-5.094962539357784
1,376086,default,-1.8866779915028236,-1.0842882487412169,-2.4565012478775086,-4.146633420051175,-5.381935285988244
2,223060,default,-1.98272966036776,-1.508522090714496,-2.8582398552024695,-4.44716007344894,-5.489204254428715
5,393035,default,-2.0853231042105698,-0.7678962920533238,-2.1239931127542624,-4.148989173230363,-5.304656086732735
2,179084,default,-2.132072068828426,-1.3063256709834556,-2.6533230186021335,-4.306612049402813,-5.239174829106896
1,109055,default,-1.7869243376211967,-1.0617263456866417,-2.319814334486718,-4.0896987591272325,-5.147366593109011
5,41029,default,-2.05895564605255,-0.7954741286440813,-2.0604999433615756,-3.9659043667566403,-5.046153557504888
4,103029,default,-2.3794431242721408,-1.2799565290445925,-2.698848806362386,-4.3758442700570575,-5.0900007341363676
5,296058,default,-1.9783221850678836,-0.8018566613788921,-2.071210376301098,-4.051404475480124,-5.276940240070997
9,181021,default,-1.5056803240566068,-0.8742183221811334,-2.133971820673006,-4.123448675579252,-5.463128067073559
2,100039,default,-2.225234528314415,-1.3657610941552187,-2.660534594460139,-4.295873399999068,-5.21241137270853
5,145059,default,-2.3169126043837447,-0.7585586552684812,-2.016274425025705,-3.9505073163859814,-5.356091820766072
2,285022,default,-1.5075331637794398,-1.2349151387898507,-2.8494011943857194,-4.380998325373797,-5.28793105452425
8,140088,default,-0.9562376793457482,-0.5943307877653968,-2.009748420676587,-3.919080931034288,-5.229748591791836
8,103078,default,-1.630661584195518,-0.7284311404694949,-1.8676160034673543,-3.8082944147921207,-4.842517717457807
4,164046,default,-1.7293917384803623,-1.1024175908119083,-2.669017234809061,-4.351029702819777,-5.1039881631381965
7,384089,default,-2.2525882184765718,-1.0636746694404104,-2.1875620442726786,-3.8732771539517383,-4.870901386491998
3,45000,default,-1.7043933437559802,-0.8146562254438788,-2.5717099567756643,-4.232288784674502,-5.139080042296297
3,267036,default,-1.2308504167638064,-0.9950113382228637,-2.6207970297737093,-4.273455751391496,-5.200703294854418
2,196088,default,-1.4998003853863087,-0.8845677639768751,-2.5243066542596426,-4.19604755797249,-5.169016129221187
2,41085,default,-1.5499953706104437,-1.1540492335755999,-2.711379960324466,-4.237833420920789,-5.176361943000932
3,107014,default,-1.826102428318476,-1.0377559458867736,-2.5907337817937006,-4.17227926703579,-5.088552101676882
6,250047,default,-2.169058632215969,-1.3228047446963025,-2.0795568215937177,-4.094260384999946,-5.102792307597445
4,223004,default,-1.9607152764951077,-1.2336487977671275,-2.676714955098986,-4.422284770533427,-5.134428974315111
7,185092,default,-1.1149499814383885,-0.3566997980216805,-1.919308657867611,-3.7626141823706947,-4.837484822325284
