style,content,weight,E1,E2,E3,E4,E5
2,107072,default,-4.8981567636879975,-3.1527179869562807,-4.142680666778614,-5.775458602543404,-5.738165030422532
4,368037,default,-5.388473688677378,-3.33829726945753,-4.2077111953656745,-5.656136452078542,-6.155647772735306
10,8068,default,-4.6562452391898725,-3.5167547934016357,-4.499613618059346,-6.3466960173360665,-6.137559135635423
9,372019,default,-5.0588227183519745,-4.270096529441822,-4.195697539064456,-5.522711005927446,-5.932942861600873
7,97010,default,-3.792875537808915,-2.313010297540342,-3.777173846039357,-5.28461473234673,-5.466530050136105
10,117025,default,-4.333528026437104,-3.197667517225587,-4.126662835752172,-6.094887477860313,-6.180522277261176
8,134067,default,-3.2642534803609498,-3.1824810648963915,-5.536707649384513,-6.21515987945161,-6.284284904978572
7,202000,default,-3.4488091700024706,-2.7140174783945934,-3.930116609963238,-5.352858529926941,-5.461961404832099
6,123057,default,-2.8872197763370018,-3.0396701514616478,-3.99382225194684,-5.093672218801281,-5.252984885565937
3,43051,default,-3.9718010704295974,-3.8002083787390104,-4.6161630568516685,-5.499824133331317,-5.510222272365353
1,376086,default,-4.868379492118475,-3.6307834279070503,-4.743449982607121,-6.29007589933015,-6.5981435096648475
2,223060,default,-3.6680002924099604,-3.6941121168154183,-5.087198621059673,-6.555245005852912,-6.167017712811471
5,393035,default,-8.499412749226849,-5.025426404689167,-5.566544196179067,-7.477838977034578,-6.613055209347751
2,179084,default,-4.693342520350272,-3.4747871768847656,-4.142684884530385,-5.788903910364368,-5.710442996028803
1,109055,default,-2.234104651820049,-2.1126678472964695,-3.7030044398675326,-5.199317513105494,-5.563650460748545
5,41029,default,-6.830837128199703,-3.5255030563280343,-4.086027216627864,-5.976245893107421,-6.129366696737526
4,103029,default,-5.714820919085791,-3.8577251834935504,-4.373071398521257,-5.623177121018909,-5.560276031780029
5,296058,default,-6.1445755945045315,-4.216212441954426,-5.097081616266448,-6.753319847414964,-6.373381174374181
9,181021,default,-4.625063791545358,-4.500083337408823,-4.749325147999286,-5.8383035051500105,-6.312229275192886
2,100039,default,-4.946537966579836,-3.5538794968858456,-4.677586104005652,-6.106075144944224,-6.135767305514168
5,145059,default,-6.457521805203868,-4.222384752858572,-5.841591409601397,-6.975397206820672,-7.402557396322706
2,285022,default,-5.490374805361865,-4.175761684710028,-4.70203482521809,-6.617889799443796,-5.795089195183532
8,140088,default,-3.7729589977312283,-3.2726888264944445,-4.246573213771503,-5.873098985363275,-6.15991523240241
8,103078,default,-3.715130632374776,-2.9659010821184597,-4.46895136063731,-5.732777555155669,-5.472787511707875
4,164046,default,-3.916761706622034,-3.2846619509450092,-4.404561640609422,-5.556892835812361,-5.395605806325491
7,384089,default,-3.428414630874535,-2.983875198526841,-3.8314952128882167,-5.144023161152515,-5.268843792074039
3,45000,default,-3.51039054159211,-3.0832332881099496,-3.920429799328562,-5.494355718673956,-5.474162959501891
3,267036,default,-2.9234890783226772,-2.7100962809925897,-3.98614585274698,-5.294530316564761,-5.552803658104167
2,196088,default,-5.067197787372774,-4.359211069256606,-5.051825653379067,-6.773805577268632,-5.852446519367861
2,41085,default,-4.70748351000635,-3.6009779766582035,-4.194132088185421,-5.9306787540106685,-5.770100648397647
3,107014,default,-3.571724897933483,-3.3239815587738173,-4.199033496695423,-5.336270577188412,-5.393109914040721
6,250047,default,-3.8687399789078203,-3.228380992899578,-4.8058830320996995,-6.700882923443882,-6.340831955448611
4,223004,default,-6.265360259480263,-4.010818195085839,-4.061300604296647,-5.520925129822215,-5.877073857033454
7,185092,default,-4.606256746041588,-3.530653908713835,-4.3404303518056055,-5.56183458924445,-5.400765164669135
