style,content,weight,E1,E2,E3,E4,E5
5,189006,default,-3.00986310089415,-1.3514555068189833,-3.132730456424149,-4.807931505116971,-6.070897575709382
9,160067,default,-1.5871818300791785,-1.4393404775727872,-2.7574038507114254,-4.5439464037774835,-5.385679725478524
7,15062,default,-0.16929618277321112,-0.7800466833077496,-3.0763051569390285,-4.484712137814317,-5.037249491648031
4,217090,default,-2.279058495848751,-1.633722071298215,-3.066997203949827,-4.70605838299563,-5.352052474320302
8,268048,default,-0.6158172697463767,-0.25279029952453247,-2.0468994562317473,-3.9226067058877243,-5.105972974021827
3,103006,default,-1.0012930700928746,-1.7523763448663607,-3.2851567844780942,-4.736683951519368,-5.020083305873571
8,226033,default,-0.5465118330605995,-0.6361616946439171,-2.5993874576174862,-4.3702215744570685,-5.528196904293169
7,108004,default,-0.7212268545359787,-0.9680849040668528,-3.1420210875908943,-4.601479071284894,-4.954835147492959
2,100099,default,-1.0876035844698153,-1.8650642301372664,-3.3537379655800263,-4.958250641904643,-5.582090605583819
10,69000,default,-1.6850153080928805,-2.0900938449368733,-3.4683434964359856,-5.202239576818855,-6.050115922442985
9,243095,default,-1.6547559605357063,-1.3032411574194893,-2.7154889243438656,-4.379006626412741,-5.773585190317776
9,232076,default,-1.7903313757143335,-1.7759856503452847,-2.842741087914407,-4.576649025227844,-5.205243555303924
10,306052,default,-1.9421331505956694,-2.2818711464034687,-3.60853897989192,-5.1319034380335005,-5.653409648687644
4,16068,default,-1.407756457930959,-1.5037880604677745,-3.1096310786518666,-4.711885655435534,-5.370623230541344
4,5096,default,-1.767797907302326,-1.1772258942223974,-2.8784571535467043,-4.628901162902069,-5.494275647729205
5,289011,default,-2.3249079733737283,-1.226010019856039,-2.980395359050777,-4.603670200258904,-5.45414397178948
10,238025,default,-1.6968897323308676,-2.089781666403962,-3.5185198773263133,-5.081351798970076,-5.776358632125306
8,51084,default,-0.5877263945116048,-0.36798248370524356,-2.356745867848157,-4.05799821537346,-5.215985354910207
2,317043,default,-0.9592428299220129,-1.7891767608045832,-3.253143258278059,-4.794122005546906,-5.380972135837798
6,156054,default,-0.9670658653895928,-1.4087172120606746,-2.845298539587329,-4.609327795672605,-5.285419072193089
9,189029,default,-1.9970440121514543,-1.4585868168293654,-2.997404215876569,-4.668985083404164,-5.445712592322127
2,107072,default,-1.4938682192559303,-1.9153553796106926,-3.3619357099013234,-4.891809184090267,-5.409086723782939
4,368037,default,-1.766840142306569,-1.1409973252988368,-2.8613917288425332,-4.560673821459012,-5.232510078728456
10,8068,default,-1.6337427696172662,-2.166758319136555,-3.5059991813727294,-5.0546103508173275,-5.761367040297013
