style,content,weight,E1,E2,E3,E4,E5
10,230063,default,-0.616351479320831,-1.4905918226348653,-3.0384191814841137,-4.16782030620906,-4.270673085951144
6,20069,default,-0.4232514818374199,-1.3170020315104884,-2.897907493082192,-4.010503093615089,-3.871487315599346
6,35049,default,-0.46453942514213253,-1.271307796228125,-2.986769652081936,-4.293267631829957,-4.1596672102299745
5,69022,default,-1.0140336236007648,-1.3508954963200335,-3.4092439412767463,-4.298665166718921,-4.14895256884289
3,253016,default,-0.36439108498304995,-1.2680449514780672,-2.8791590612004025,-3.9414612670821407,-3.8443787856565415
8,217013,default,-0.7452155789374993,-1.3863792345322006,-3.740840819721984,-4.359758716519624,-4.20540325985936
9,33044,default,-0.7957131955464952,-1.484813075444309,-3.3729276010532603,-4.282337455256843,-4.211516883261415
3,61034,default,-0.3465356481847838,-1.270629721602981,-2.8495771767215983,-3.8984119840409113,-3.886970420666879
7,159022,default,-0.9041287301429125,-1.3738353966873111,-3.586685416789023,-4.3505255902923485,-3.963539610146202
3,230098,default,-0.3465356481847838,-1.270629721602981,-2.8495771767215983,-3.8984119840409113,-3.886970420666879
6,279005,default,-0.4232514818374199,-1.3170020315104884,-2.897907493082192,-4.010503093615089,-3.871487315599346
6,102062,default,-0.46453942514213253,-1.271307796228125,-2.986769652081936,-4.293267631829957,-4.1596672102299745
9,41006,default,-0.7467873351301849,-1.3719203636150432,-3.3346610505295358,-4.237064817395924,-4.014116026426239
3,159002,default,-0.3465356481847838,-1.270629721602981,-2.8495771767215983,-3.8984119840409113,-3.886970420666879
5,189006,default,-1.0185562706507154,-1.397448944690983,-3.4340613114626475,-4.344071994025814,-4.1743595469325765
9,160067,default,-0.7467873351301849,-1.3719203636150432,-3.3346610505295358,-4.237064817395924,-4.014116026426239
7,15062,default,-0.9041287301429125,-1.3738353966873111,-3.586685416789023,-4.3505255902923485,-3.963539610146202
4,217090,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
8,268048,default,-0.8421297711628509,-1.348364029294086,-3.537222072849124,-4.180677803187122,-4.04073694386758
3,103006,default,-0.36439108498304995,-1.2680449514780672,-2.8791590612004025,-3.9414612670821407,-3.8443787856565415
8,226033,default,-0.8421297711628509,-1.348364029294086,-3.537222072849124,-4.180677803187122,-4.04073694386758
7,108004,default,-0.9041287301429125,-1.3738353966873111,-3.586685416789023,-4.3505255902923485,-3.963539610146202
2,100099,default,-0.5043431500342105,-1.4023482997972043,-3.023551487517709,-4.033009421218143,-3.979560672551334
10,69000,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
9,243095,default,-0.7957131955464952,-1.484813075444309,-3.3729276010532603,-4.282337455256843,-4.211516883261415
9,232076,default,-0.7467873351301849,-1.3719203636150432,-3.3346610505295358,-4.237064817395924,-4.014116026426239
10,306052,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
4,16068,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
4,5096,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
5,289011,default,-1.0185562706507154,-1.397448944690983,-3.4340613114626475,-4.344071994025814,-4.1743595469325765
10,238025,default,-0.616351479320831,-1.4905918226348653,-3.0384191814841137,-4.16782030620906,-4.270673085951144
8,51084,default,-0.8421297711628509,-1.348364029294086,-3.537222072849124,-4.180677803187122,-4.04073694386758
2,317043,default,-0.5043431500342105,-1.4023482997972043,-3.023551487517709,-4.033009421218143,-3.979560672551334
6,156054,default,-0.4232514818374199,-1.3170020315104884,-2.897907493082192,-4.010503093615089,-3.871487315599346
9,189029,default,-0.7957131955464952,-1.484813075444309,-3.3729276010532603,-4.282337455256843,-4.211516883261415
2,107072,default,-0.5043431500342105,-1.4023482997972043,-3.023551487517709,-4.033009421218143,-3.979560672551334
4,368037,default,-0.780949692998279,-1.3363557810477267,-3.209129270019481,-4.337304827687225,-3.9969128542623924
10,8068,default,-0.5554054352189829,-1.4681876637142035,-3.084707883690047,-4.344921613231664,-4.437857703699193
